,1d_pred,3d_pred,5d_pred,1d_pred_proba,3d_pred_proba,5d_pred_proba,1d_Range_pred,1d_Range_pred_proba,1d_actual,3d_actual,5d_actual,1d_Range_actual
39,1,1,1,0.9442146,0.70261,0.7878295,0,0.27948052,1,1,1,0
40,1,1,1,0.81646913,0.5866929,0.7619657,0,0.01282075,1,1,1,0
41,1,1,1,0.6766361,0.7586357,0.5768453,0,0.011564863,1,1,1,0
42,1,0,0,0.7309899,0.14890131,0.44830462,0,0.10935778,1,1,1,1
43,0,1,0,0.23084901,0.5750574,0.4158358,0,0.42858997,1,0,1,0
44,1,0,1,0.58940005,0.4617705,0.56808984,1,0.62554944,0,1,1,0
45,1,0,1,0.64943016,0.48879695,0.64655113,0,0.13949996,0,1,1,0
46,1,0,1,0.6885986,0.33744162,0.66729456,0,0.45314062,1,1,1,1
47,0,0,1,0.27568647,0.051246677,0.5319674,0,0.028064277,1,1,0,0
48,0,0,1,0.21568999,0.42738968,0.61327654,0,0.03239276,1,0,0,0
49,0,0,0,0.1616377,0.08234176,0.4976436,0,0.35678676,0,0,0,0
50,0,1,1,0.35337296,0.78488773,0.6839419,0,0.45912567,0,0,1,0
51,0,1,1,0.473649,0.8047666,0.81603676,1,0.82907325,0,1,1,0
52,1,1,1,0.98181194,0.69589186,0.8518838,0,0.49114195,1,1,1,1
53,1,0,1,0.6767824,0.45270813,0.8094165,1,0.67704886,1,1,1,0
54,0,0,1,0.46939087,0.047836255,0.5916315,0,0.019321466,0,0,0,1
55,1,0,1,0.65562534,0.055983476,0.69536525,0,0.026885381,1,0,0,0
56,0,0,1,0.15696216,0.09252996,0.68267065,0,0.27678993,0,0,0,1
57,1,1,1,0.5118015,0.9963421,0.8629843,0,0.3826972,0,0,0,0
58,1,0,1,0.8308031,0.37620917,0.8637833,1,0.63513887,0,0,0,0
59,1,1,1,0.9770433,0.72569793,0.918262,1,0.57816154,1,0,0,1
60,1,0,1,0.77458924,0.39627656,0.68305564,1,0.73818976,0,0,0,1
61,1,1,1,0.95909345,0.97243303,0.8211684,0,0.19087356,0,0,0,1
62,1,1,1,0.9813773,0.97821915,0.8759193,0,0.32578284,0,0,1,1
63,1,1,1,0.9899038,0.9999027,0.9227954,1,0.9510958,0,0,1,1
64,1,1,1,0.97279143,0.9983937,0.9136993,1,0.9152495,1,1,1,1
65,1,1,1,0.8190617,0.9428323,0.78136224,1,0.8769233,0,1,1,1
66,1,1,1,0.9556914,0.9992132,0.9319844,1,0.8757172,1,1,1,1
67,0,1,1,0.44358483,0.9546399,0.8025672,0,0.32510597,0,0,0,0
68,1,1,1,0.68901277,0.99401134,0.76745903,0,0.12121977,1,0,0,0
69,0,0,1,0.25326383,0.23236771,0.744207,0,0.028232647,0,0,0,0
70,1,1,1,0.92534053,0.88445216,0.77839696,1,0.66771024,1,1,1,0
71,1,1,1,0.8213835,0.9319923,0.76919186,0,0.13437644,1,0,1,0
72,1,0,1,0.7768392,0.030821629,0.5370382,0,0.08005703,0,0,0,0
73,1,1,1,0.97467756,0.6180702,0.8357704,0,0.098885424,0,1,1,0
74,1,1,1,0.94370323,0.880182,0.72972894,0,0.18698013,1,1,1,0
75,1,1,1,0.6763781,0.81824833,0.60615945,0,0.106980294,1,1,1,0
76,1,1,1,0.7161164,0.8601896,0.7373045,0,0.04771965,0,0,1,0
77,1,1,1,0.934356,0.83628607,0.8277089,0,0.4986829,1,1,1,0
78,1,1,1,0.6077009,0.83019286,0.7062647,1,0.68022615,0,1,1,0
79,1,1,1,0.89651275,0.9273938,0.8136797,0,0.44632134,1,1,1,1
